City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Kaitangata,-46.2817,169.8464,50.88,74,82,15.32,NZ,2022-08-03 01:22:48
68,East London,-33.0153,27.9116,65.55,58,70,5.14,ZA,2022-08-03 01:20:16
69,Takaka,-40.85,172.8,60.57,57,2,8.9,NZ,2022-08-03 01:22:48
70,Severo-Kurilsk,50.6789,156.125,56.39,76,13,6.76,RU,2022-08-03 01:22:49
71,Marawi,7.9986,124.2928,79.21,65,24,0.83,PH,2022-08-03 01:22:49
72,Nanortalik,60.1432,-45.2371,45.32,81,13,8.37,GL,2022-08-03 01:19:58
73,Abha,18.2164,42.5053,59.25,94,68,5.75,SA,2022-08-03 01:22:49
74,Bambous Virieux,-20.3428,57.7575,66.45,88,40,4.61,MU,2022-08-03 01:22:50
75,Saskylakh,71.9167,114.0833,45.37,70,100,11.21,RU,2022-08-03 01:22:50
76,Camocim,-2.9022,-40.8411,76.91,83,6,10.16,BR,2022-08-03 01:22:50
77,Mahebourg,-20.4081,57.7,66.49,88,40,4.61,MU,2022-08-03 01:22:51
78,Alice Springs,-23.7,133.8833,78.35,21,71,17.27,AU,2022-08-03 01:19:25
79,Caetite,-14.0694,-42.475,65.01,66,0,8.14,BR,2022-08-03 01:22:51
80,Hualmay,-11.0964,-77.6139,61.93,83,28,12.93,PE,2022-08-03 01:22:51
81,Pisco,-13.7,-76.2167,60.85,82,20,10.36,PE,2022-08-03 01:22:52
82,Vanino,49.0869,140.2543,62.15,97,100,6.13,RU,2022-08-03 01:22:52
83,Krasnoselkup,65.7,82.4667,51.96,64,18,13.4,RU,2022-08-03 01:22:53
84,Mae Ramat,16.984,98.5166,82.08,100,61,1.7,TH,2022-08-03 01:22:53
85,Ilulissat,69.2167,-51.1,48.22,87,75,1.14,GL,2022-08-03 01:22:53
86,Lasa,46.6166,10.7002,60.37,88,14,1.7,IT,2022-08-03 01:22:54
87,Nikolskoye,59.7035,30.7861,58.8,91,68,4.85,RU,2022-08-03 01:22:54
88,Sechura,-5.5569,-80.8222,66.07,77,0,13.27,PE,2022-08-03 01:23:05
89,Nanakuli,21.3906,-158.1547,85.98,47,20,18.41,US,2022-08-03 01:23:54
90,Bocas Del Toro,9.3333,-82.25,77.7,88,100,7.23,PA,2022-08-03 01:23:55
91,Dikson,73.5069,80.5464,43.09,89,100,13.96,RU,2022-08-03 01:23:55
92,Buraydah,26.326,43.975,95.45,42,80,6.64,SA,2022-08-03 01:23:55
93,Garowe,8.4054,48.4845,73.24,67,31,28.68,SO,2022-08-03 01:23:56
94,Castro,-24.7911,-50.0119,58.96,66,0,3.51,BR,2022-08-03 01:23:56
95,Esperance,-33.8667,121.9,53.44,61,40,31.32,AU,2022-08-03 01:23:56
96,Champerico,14.3,-91.9167,83.07,77,6,7.14,GT,2022-08-03 01:23:57
97,Martin,27.0837,-80.4164,83.98,85,55,8.12,US,2022-08-03 01:23:57
98,Touros,-5.1989,-35.4608,75.2,88,8,7.9,BR,2022-08-03 01:23:57
99,Chuy,-33.6971,-53.4616,53.85,95,88,6.96,UY,2022-08-03 01:23:19
100,Faanui,-16.4833,-151.75,78.42,68,2,22.46,PF,2022-08-03 01:23:58
101,Mahina,-17.5065,-149.489,83.97,58,40,5.75,PF,2022-08-03 01:23:58
102,Bredasdorp,-34.5322,20.0403,49.28,87,14,4.23,ZA,2022-08-03 01:23:58
103,Mataura,-46.1927,168.8643,44.47,85,99,10.4,NZ,2022-08-03 01:23:59
104,Sanmenxia,34.7747,111.1814,85.12,66,0,7.83,CN,2022-08-03 01:23:59
105,Geraldton,-28.7667,114.6,61.21,72,75,13.8,AU,2022-08-03 01:23:59
106,Ahipara,-35.1667,173.1667,61.95,70,100,2.98,NZ,2022-08-03 01:24:00
107,Yellowknife,62.456,-114.3525,70.32,30,20,8.05,CA,2022-08-03 01:24:00
108,Biak,-0.9131,122.8766,79.72,75,99,6.51,ID,2022-08-03 01:22:47
109,Neuquen,-38.9516,-68.0591,37.29,70,0,0.0,AR,2022-08-03 01:24:00
110,Saint-Philippe,-21.3585,55.7679,65.21,81,50,9.31,RE,2022-08-03 01:24:01
111,Melilla,35.2937,-2.9383,71.8,79,0,3.53,ES,2022-08-03 01:24:01
112,Dryden,49.7833,-92.7503,73.69,68,75,16.11,CA,2022-08-03 01:24:01
113,Vaini,-21.2,-175.2,80.76,89,75,12.66,TO,2022-08-03 01:24:02
114,Cape Town,-33.9258,18.4232,58.37,87,75,5.75,ZA,2022-08-03 01:24:02
115,Srednekolymsk,67.45,153.6833,62.22,84,100,11.68,RU,2022-08-03 01:24:03
116,Progreso,21.2833,-89.6667,86.11,86,92,15.52,MX,2022-08-03 01:21:22
117,Adeje,28.1227,-16.726,78.87,78,0,9.22,ES,2022-08-03 01:24:03
118,Georgetown,5.4112,100.3354,76.95,91,40,4.61,MY,2022-08-03 01:20:43
119,Gboko,7.3179,8.9951,71.13,92,98,4.45,NG,2022-08-03 01:24:04
120,Ust-Nera,64.5667,143.2,75.38,52,99,6.08,RU,2022-08-03 01:24:04
121,Port Elizabeth,-33.918,25.5701,62.31,63,0,5.75,ZA,2022-08-03 01:24:05
122,Chicama,-7.8447,-79.1469,57.74,86,47,7.7,PE,2022-08-03 01:24:05
123,Faya,18.3851,42.4509,59.52,73,65,1.61,SA,2022-08-03 01:24:06
124,Eydhafushi,5.1033,73.0708,81.64,77,100,18.03,MV,2022-08-03 01:24:06
125,Kailua,21.4022,-157.7394,86.02,64,20,13.8,US,2022-08-03 01:22:11
126,Nazret,8.55,39.2667,61.47,90,100,11.74,ET,2022-08-03 01:24:07
127,Maceio,-9.6658,-35.7353,74.64,94,100,5.75,BR,2022-08-03 01:23:28
128,Padang,-0.9492,100.3543,77.05,88,100,2.86,ID,2022-08-03 01:24:07
129,Siilinjarvi,63.0833,27.6667,51.82,87,0,5.75,FI,2022-08-03 01:24:08
130,Cabinda,-5.55,12.2,69.49,88,71,9.26,AO,2022-08-03 01:24:08
131,Longyearbyen,78.2186,15.6401,49.84,87,75,3.44,SJ,2022-08-03 01:21:47
132,Mangan,27.5167,88.5333,77.7,90,100,1.03,IN,2022-08-03 01:24:10
133,Trincomalee,8.5711,81.2335,79.74,81,100,25.19,LK,2022-08-03 01:24:10
134,Prince Rupert,54.3161,-130.3201,56.89,92,100,9.22,CA,2022-08-03 01:22:01
135,Kavaratti,10.5669,72.642,79.99,80,100,23.98,IN,2022-08-03 01:24:10
136,Cabedelo,-6.9811,-34.8339,74.07,85,12,4.61,BR,2022-08-03 01:25:11
137,Busselton,-33.65,115.3333,54.09,67,100,31.21,AU,2022-08-03 01:25:11
138,Aykhal,66.0,111.5,42.8,97,100,19.48,RU,2022-08-03 01:25:12
139,Manapparai,10.6,78.4167,77.86,84,100,6.93,IN,2022-08-03 01:25:12
140,Waipawa,-41.4122,175.5153,56.07,73,60,18.45,NZ,2022-08-03 01:23:09
141,Airai,-8.9266,125.4092,70.38,36,84,2.59,TL,2022-08-03 01:25:13
142,Karasjok,69.4719,25.5112,52.54,92,100,4.63,NO,2022-08-03 01:25:13
